Proposition#;socio weight (-1 = liberal, 0 = neutral, 1 = authoritarian);economic weight (-1 = left, 0 = neutral, 1 = right);;English;German;Italian;Czech;Spanish;French;Polish
47;1;0;;It is a waste of time to try to rehabilitate some criminals;Es ist Zeitverschwendung, zu versuchen, manche Kriminelle zu rehabilitieren. ;A volte ä uno spreco di tempo cercare di riabilitare alcuni criminali. ;Snaha rehabilitovat n?kterÇ zlo?ince je ztr†tou ?asu. ;Es una pÇrdida de tiempo intentar rehabilitar a algunos criminales. ;Les tentatives de rÇinsertion de certains criminels sont une perte de temps. ;Strat? czasu jest pr¢ba resocjalizacji niekt¢rych przest?pc¢w. 
48;1;1;;The businessperson and the manufacturer are more important than the writer and the artist;Unternehmer und Hersteller sind wichtiger als Autoren und KÅnstler. ;L?uomo d?affari e il fabbricante sono pió importanti dello scrittore e l?artista. ;Podnikatel a vÏrobce jsou d?le?it?j?° ne? spisovatel a um?lec. ;Los hombres de negocios y los fabricantes son m†s importantes que los escritores y los artistas. ;Un homme d?affaires ou un ouvrier sont plus importants qu?un Çcrivain ou un artiste. ;Biznesmeni i producenci s? wa?niejsi od artyst¢w czy pisarzy. 
49;1;0;;Mothers may have careers, but their first duty is to be homemakers;MÅtter dÅrfen Karrieren haben, aber ihre oberste Pflicht ist die der Hausfrau. ;Le madri possono intraprendere carriere, ma il loro dovere principale ä quello di essere casalinghe. ;Matky mohou m°t kariÇru, ale jejich hlavn° povinnost° je starat se o dom†cnost. ;Las madres pueden tener carreras, pero su principal labor es ser amas de casa. ;Une märe peut avoir une carriäre, mais son devoir est avant tout de s?occuper de son foyer. ;Matki mog? robi? karier?, ale ich g?¢wnym obowi?zkiem jest zajmowanie si? domem. 
50;-1;-1;;Multinational companies are unethically exploiting the plant genetic resources of developing countries;Multinationale Unternehmen beuten unethisch die Pflanzengenetischen Ressourcen der EntwicklungslÑnder aus. ;Alcune compagnie multinazionali stanno sfruttando in modo non etico le risorse fitogeniche di nazioni in via di sviluppo. ;Nadn†rodn° spole?nosti zneu?°vaj° rostlinnÇ genetickÇ zdroje rozvojovÏch zem°. ;Las multinacionales est†n explotando sin Çtica la genÇtica de los recursos agr°colas de los pa°ses en desarrollo. ;Les multinationales exploitent malhonnàtement les ressources gÇnÇtiques vÇgÇtales de pays en voie de dÇveloppement. ;Wielkie korporacje nieetycznie wykorzystuj? kraje rozwijaj?ce si? do upraw ro?lin genetycznie modyfikowanych. 
51;0;0;;Astrology accurately explains many things;Astrologie erklÑrt viele Dinge akkurat. ;L?astrologia spiega accuratamente molte cose. ;Astrologie dok†?e s p?esnost° vysv?tlit spoustu v?c°. ;La astrolog°a explica muchas cosas con precisi¢n. ;Il y a de nombreuses choses que l?astrologie explique träs bien. ;Astrologia sensownie wyja?nia wiele rzeczy. 
52;1;0;;You cannot be moral without being religious;Man kann nicht moralisch sein, ohne religiîs zu sein. ;Non si puï essere morali senza essere religiosi. ;Nem??ete bÏt mor†ln° bez toho, abyste byli n†bo?ensky zalo?en°. ;Sin ser religioso no puedes ser moral. ;La moralitÇ passe nÇcessairement par la religion. ;Nie mo?na by? moralnym nie b?d?c religijnym. 
53;0;1;;Charity is better than social security as a means of helping the genuinely disadvantaged;WohltÑtigkeit ist besser geeignet als Sozialhilfe, um die wirklich Benachteiligten zu unterstÅtzen. ;La beneficenza ä meglio della sicurezza sociale come mezzo per aiutare le persone veramente svantaggiate. ;Jako prost?edek pomoci skute?n? znevÏhodn?nÏm osob†m, charita je lep?° ne? soci†ln° zabezpe?en°. ;La caridad es mejor que la seguridad social como medio de ayuda a los que realmente est†n desfavorecidos. ;La charitÇ vaut mieux que la sÇcuritÇ sociale pour aider ceux qui sont rÇellement dÇsavantagÇs. ;Dobroczynno?? jest lepsza od ubezpiecze? spo?ecznych w pomaganiu ludziom b?d?cym w trudnych sytuacjach. 
54;0;0;;Some people are naturally unlucky;Einige Menschen haben von Natur aus kein GlÅck. ;Alcune persone sono sfortunate di natura. ;N?kte?° lidÇ maj° prost? sm?lu. ;Algunas personas tienen, por naturaleza, mala suerte.;Il y a des gens naturellement malchanceux. ;Niekt¢rzy po prostu s? pechowi. 
55;1;0;;It is important that my child's school instills religious values;Es ist wichtig, dass die Schule meines Kindes religiîse Werte vermittelt. ;‘ importante per me che la scuola di mio figlio insegni principi religiosi. ;Je d?le?itÇ, aby ?kola mÇho d°t?te d?tem v?t?povala n†bo?enskÇ hodnoty. ;Es importante que la escuela de mi hijo imparta valores religiosos. ;Il est important que mon enfant reáoive certaines valeurs religieuses Ö l?Çcole. ;To wa?ne, by szko?a mojego dziecka zaszczepia?a warto?ci religijne. 
56;1;0;;Sex outside marriage is usually immoral;Sex au·erhalb der Ehe ist gewîhnlich unmoralisch. ;Il sesso al di fuori del matrimonio ä spesso immorale. ;Mimoman?elskÏ sex je obvykle nemor†ln°. ;El sexo fuera del matrimonio es normalmente inmoral. ;Les relations sexuelles hors mariages sont en gÇnÇral immorales. ;Seks pozama??e?ski jest zawsze niemoralny. 
57;-1;0;;A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption;Ein gleichgeschlechtliches Paar in einer stabilen, liebenden Beziehung sollte nicht von der Mîglichkeit einer Kinderadoption ausgeschlossen werden. ;Una coppia omosessuale in una relazione stabile e amorevole non dovrebbe essere esclusa dalla possibilitÖ di adottare un bambino. ;P†r stejnÇho pohlav° ve stabiln°m, miluj°c°m vztahu by nem?l bÏt vylou?en z mo?nosti adopce d°t?te. ;A una pareja homosexual con una relaci¢n estable y cari§osa, no deber°a ser exclu°da de la posibilidad de adoptar un ni§o. ;Un couple homosexuel, dans une relation stable et aimante, ne devrait pas se voir interdit d?adopter un enfant. ;Dobrze funkcjonuj?ca, kochaj?ca si? para tej samej p?ci nie powinna by? wykluczona z mo?liwo?ci adopcji. 
58;-1;0;;Pornography, depicting consenting adults, should be legal for the adult population;Pornografie, die einwilligende Erwachsene darstellt, sollte fÅr die erwachsene Bevîlkerung legal sein. ;La pornografia, contenente due adulti consenzienti, dovrebbe essere legale per la popolazione adulta. ;Pornografie zobrazuj°c° dosp?lÇ osoby, kterÇ se sexem souhlas°, by m?la bÏt pro dosp?lou populaci leg†ln°. ;La pornograf°a, mostrando adultos que consienten en hacerla, deber°a ser legal para la poblaci¢n adulta. ;La pornographie, si elle reprÇsente des adultes consentants, devrait àtre lÇgalement accessible pour les adultes. ;Pornografia, ukazuj?ca doros?ych za ich zgod?, powinna by? legalna dla doros?ych. 
59;-1;0;;What goes on in a private bedroom between consenting adults is no business of the state;Was sich im Schlafzimmer zwischen zustimmenden Erwachsenen abspielt, geht den Staat nichts an. ;Ciï che accade in una stanza da letto privata tra due adulti consenzienti non ä affare dello Stato. ;To, co se d?je v lo?nici mezi dosp?lÏmi, kte?° se v?°m souhlas°, nen° z†le?itost° st†tu. ;Lo que ocurra entre adultos que consienten, en un dormitorio privado, no es asunto del estado. ;Ce qui passe dans une chambre Ö coucher entre adultes consentants n?est en rien les affaires de l?Çtat. ;Co zachodzi w prywatnych sypialniach pomi?dzy zgodnymi doros?ymi osobami, nie powinno interesowa? w?adz. 
60;1;0;;No one can feel naturally homosexual;Niemand kann sich von Natur aus homosexuell fÅhlen. ;Nessuno puï sentirsi omosessuale di natura. ;Homosexualita nen° p?irozen†. ;No es natural que alguien se sienta homosexual.;Personne ne peut naturellement se sentir homosexuel. ;Nikt nie mo?e naturalnie czu? si? homoseksualist?. 
61;1;0;;These days openness about sex has gone too far;Heutzutage geht die Offenheit Åber Sex zu weit. ;Al giorno d?oggi si ä troppo aperti quando si parla di sesso. ;Otev?enost ohledn? sexu v dne?n° dob? za?la p?°li? daleko. ;Es bueno para la sociedad ser abierta respecto al sexo, pero hoy en d°a las cosas han ido demasiado lejos. ;De nos jours, l?ouverture d?esprit sur le sexe va trop loin. ;W obecnych czasach otwarto?? na temat seksu posun??a si? za daleko. 
